bugID,component,component0Days,component1Days,component3Days,component7Days,component14Days,component30Days,reporterEmail,assigneeEmail,assigneeEmail0Days,assigneeEmail1Days,assigneeEmail3Days,assigneeEmail7Days,assigneeEmail14Days,assigneeEmail30Days,os,os0Days,os1Days,os3Days,os7Days,os14Days,os30Days,platform,platform0Days,platform1Days,platform3Days,platform7Days,platform14Days,platform30Days,milestone,milestone0Days,milestone1Days,milestone3Days,milestone7Days,milestone14Days,milestone30Days,nrKeywords,nrDependentBugs,peopleCC,nrPeopleCC0Days,nrPeopleCC1Days,nrPeopleCC3Days,nrPeopleCC7Days,nrPeopleCC14Days,nrPeopleCC30Days,opened,hoursOpenedBeforeNextRelease,lastModified,priority,priority0Days,priority1Days,priority3Days,priority7Days,priority14Days,priority30Days,severity,severity0Days,severity1Days,severity3Days,severity7Days,severity14Days,severity30Days,resolution,resolution0Days,resolution1Days,resolution3Days,resolution7Days,resolution14Days,resolution30Days,firstFix,lastFix,hoursLastFixBeforeNextRelease,hoursLastFixAfterPreviousRelease,status,status0Days,status1Days,status3Days,status7Days,status14Days,status30Days,firstActivity,nrActivities,nrActivities0Days,nrActivities1Days,nrActivities3Days,nrActivities7Days,nrActivities14Days,nrActivities30Days,lastResolution,nrComments,nrComments0Days,nrComments1Days,nrComments3Days,nrComments7Days,nrComments14Days,nrComments30Days,hoursToLastFix,hoursToLastResolution,monthOpened,yearOpened,monthYearOpened,filter_$,hTLFix2Bins0Days,hTLFix2Bins1Days,hTLFix2Bins3Days,hTLFix2Bins7Days,hTLFix2Bins14Days,hTLFix2Bins30Days,PredictedProbability_1,PredictedProbability_2,PredictedProbability_1_1,PredictedProbability_2_1,PredictedProbability_1_2,PredictedProbability_2_2,PredictedProbability_1_3,PredictedProbability_2_3,PredictedProbability_1_4,PredictedProbability_2_4,PredictedProbability_1_5,PredictedProbability_2_5,monthYearLastFixed
94464,gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),chrisime@gnome.org,ds@schleef.org,gstreamer-maint@bugzilla.gnome.org,wim.taymans@chello.be,wim.taymans@chello.be,wim.taymans@chello.be,wim.taymans@chello.be,wim.taymans@chello.be,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Other,Other,Other,Other,Other,Other,Other,0.8.9,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0,0,2,0,0,0,0,0,0,9/29/02 15:51,1713.15,1/31/05 15:43,P4,P4,P4,P4,P4,P4,P4,MAJOR,MAJOR,MAJOR,MAJOR,MAJOR,MAJOR,MAJOR,FIXED,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1/17/03 20:00,1/31/05 15:43,3271.276,4048.724,RESOLVED,NEW,NEW,NEW,NEW,NEW,NEW,9/30/02 7:44,15,0,1,1,1,1,1,1/31/05 15:43,9,0,1,1,1,1,1,20519.86667,20519.86667,9,2002,2002- 9,1,2,2,2,2,2,2,0.133333,0.866667,0,1,0,1,0,1,0.151515,0.848485,0.38247,0.61753,2005- 1
86273,gst-plugins,gst-plugins,gst-plugins,gst-plugins,gst-plugins,gst-plugins,gst-plugins,spider@gentoo.org,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,other,other,other,other,other,other,other,Other,Other,Other,Other,Other,Other,Other,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0,0,0,0,0,0,0,0,0,6/23/02 18:52,269.13333,12/22/04 21:47,P4,P4,P4,P4,P4,P4,P4,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,FIXED,#NULL!,#NULL!,#NULL!,#NULL!,FIXED,FIXED,7/4/02 21:41,7/4/02 21:41,2.313611,4916.6865,RESOLVED,NEW,NEW,NEW,NEW,RESOLVED,RESOLVED,7/4/02 21:41,2,0,0,0,0,2,2,7/4/02 21:41,2,0,1,1,1,2,2,266.816667,266.816667,6,2002,2002- 6,0,2,1,1,1,1,1,0.409677,0.590323,0.383392,0.616608,0.429703,0.570297,0.428161,0.571839,#NULL!,#NULL!,#NULL!,#NULL!,2002- 7
93954,gst-plugins,General,General,gst-plugins,gst-plugins,gst-plugins,gst-plugins,id@panix.com,walters@verbum.org,rhythmbox-maint@bugzilla.gnome.org,rhythmbox-maint@bugzilla.gnome.org,rhythmbox-maint@bugzilla.gnome.org,rhythmbox-maint@bugzilla.gnome.org,rhythmbox-maint@bugzilla.gnome.org,rhythmbox-maint@bugzilla.gnome.org,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Other,Other,Other,Other,Other,Other,Other,0.4.2,---,---,0.4.2,0.4.2,0.4.2,0.4.2,0,0,0,0,0,0,0,0,0,9/23/02 8:19,1864.6833,12/22/04 21:47,P4,P4,P4,P4,P4,P4,P4,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,FIXED,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1/18/03 18:09,1/18/03 18:09,317.8486,954.15137,RESOLVED,NEW,NEW,NEW,NEEDINFO,NEEDINFO,NEEDINFO,9/24/02 15:34,12,0,0,4,5,5,5,1/18/03 18:09,12,0,3,6,7,7,7,2817.833333,2817.833333,9,2002,2002- 9,1,2,2,2,2,2,2,0,1,0,1,0,1,0.329545,0.670455,0.151515,0.848485,0.512126,0.487874,2003- 1
78596,gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Other,Other,Other,Other,Other,Other,Other,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0,0,0,0,0,0,0,0,0,4/13/02 11:01,1980.9833,12/22/04 21:47,P4,P4,P4,P4,P4,P4,P4,MINOR,normal,normal,normal,normal,normal,normal,FIXED,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,7/17/03 5:36,7/17/03 5:36,2322.384,3988.6162,RESOLVED,NEW,NEW,NEW,NEW,NEW,NEW,6/10/02 14:27,5,0,0,0,0,0,0,7/17/03 5:36,4,0,1,1,1,1,1,11034.58333,11034.58333,4,2002,2002- 4,1,2,2,2,2,2,2,0.578512,0.421488,0.454545,0.545455,0.255814,0.744186,0.428161,0.571839,0.442857,0.557143,0.555556,0.444444,2003- 7
87814,t know,t know,t know,t know,t know,t know,t know,jpritikin@pobox.com,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,other,other,other,other,other,other,other,Other,Other,Other,Other,Other,Other,Other,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0,0,0,0,0,0,0,0,0,7/10/02 8:13,3664.7834,12/22/04 21:47,P4,P4,P4,P4,P4,P4,P4,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,CRITICAL,FIXED,#NULL!,FIXED,FIXED,FIXED,FIXED,FIXED,7/10/02 21:14,7/10/02 21:14,3651.7576,141.2425,RESOLVED,NEW,RESOLVED,RESOLVED,RESOLVED,RESOLVED,RESOLVED,7/10/02 12:03,4,0,4,4,4,4,4,7/10/02 21:14,7,0,7,7,7,7,7,13.016667,13.016667,7,2002,2002- 7,0,1,1,1,1,1,1,0.409677,0.590323,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2002- 7
93195,gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),thomas@apestaart.org,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Other,Other,Other,Other,Other,Other,Other,0.5.0,0.4.0,0.4.0,0.5.0,0.5.0,0.5.0,0.5.0,0,0,0,0,0,0,0,0,0,9/13/02 10:27,2102.55,12/22/04 21:47,P4,P4,P4,P4,P4,P4,P4,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,FIXED,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,9/12/03 11:04,9/12/03 11:04,948.9175,5362.0825,RESOLVED,NEW,NEW,ASSIGNED,ASSIGNED,ASSIGNED,ASSIGNED,9/15/02 16:42,4,0,0,2,2,2,2,9/12/03 11:04,4,0,1,1,1,1,1,8736.616667,8736.616667,9,2002,2002- 9,1,2,2,2,2,2,2,0.331343,0.668657,0.383392,0.616608,0.429703,0.570297,0.428161,0.571839,0.569832,0.430168,0.38247,0.61753,2003- 9
87823,gst-plugins,gst-plugins,gst-plugins,gst-plugins,gst-plugins,gst-plugins,gst-plugins,ali.akcaagac@stud.fh-wilhelmshaven.de,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Other,Other,Other,Other,Other,Other,Other,0.4.1,0.4.0,0.4.1,0.4.1,0.4.1,0.4.1,0.4.1,0,0,0,0,0,0,0,0,0,7/10/02 12:25,3660.5833,12/22/04 21:47,P4,P4,P4,P4,P4,P4,P4,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,FIXED,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,10/26/02 9:18,10/26/02 9:18,1071.6914,2721.3088,RESOLVED,NEW,ASSIGNED,ASSIGNED,ASSIGNED,ASSIGNED,ASSIGNED,7/10/02 13:10,8,0,2,2,2,2,2,10/26/02 9:18,7,0,3,3,3,3,4,2588.883333,2588.883333,7,2002,2002- 7,1,2,2,2,2,2,2,0.409677,0.590323,0.500726,0.499274,0.568539,0.431461,0.550152,0.449848,0.583658,0.416342,0.512126,0.487874,2002-10
78608,gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,thomas@apestaart.org,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Other,Other,Other,Other,Other,Other,Other,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0,0,0,0,0,0,0,0,0,4/13/02 15:36,1976.3999,12/22/04 21:47,P4,P4,P4,P4,P4,P4,P4,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,FIXED,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6/10/02 8:18,6/10/02 8:18,591.69086,4327.309,RESOLVED,NEW,NEW,NEW,NEW,NEW,NEW,6/10/02 8:18,2,0,0,0,0,0,0,6/10/02 8:18,1,0,1,1,1,1,1,1384.7,1384.7,4,2002,2002- 4,1,2,2,2,2,1,1,0.578512,0.421488,0.454545,0.545455,0.255814,0.744186,0.428161,0.571839,0.442857,0.557143,0.555556,0.444444,2002- 6
78609,gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),thomas@apestaart.org,wingo@pobox.com,wingo@pobox.com,wingo@pobox.com,wingo@pobox.com,wingo@pobox.com,wingo@pobox.com,wingo@pobox.com,Linux,Linux,Linux,Linux,Linux,Linux,Linux,Other,Other,Other,Other,Other,Other,Other,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0,0,0,0,0,0,0,0,0,4/13/02 15:37,1976.3833,12/22/04 21:47,P4,P4,P4,P4,P4,P4,P4,BLOCKER,BLOCKER,BLOCKER,BLOCKER,BLOCKER,BLOCKER,BLOCKER,FIXED,#NULL!,FIXED,FIXED,FIXED,FIXED,FIXED,4/13/02 17:14,4/13/02 17:14,1974.7614,2944.2388,RESOLVED,NEW,RESOLVED,RESOLVED,RESOLVED,RESOLVED,RESOLVED,4/13/02 17:14,2,0,2,2,2,2,2,4/13/02 17:14,2,0,2,2,2,2,2,1.616667,1.616667,4,2002,2002- 4,0,1,1,1,1,1,1,0.578512,0.421488,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2002- 4
89622,gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),gstreamer (core),shaun.merrigan@sun.com,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,gstreamer-bugs@lists.sourceforge.net,Solaris,Solaris,Solaris,Solaris,Solaris,Solaris,Solaris,Other,Other,Other,Other,Other,Other,Other,0.5.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0.4.0,0,0,1,1,1,1,1,1,1,8/1/02 14:22,3130.6333,12/22/04 21:47,P2,Normal,Normal,Normal,Normal,Normal,Normal,CRITICAL,normal,normal,normal,normal,normal,normal,FIXED,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1/20/03 15:06,1/20/03 15:06,272.8861,999.1139,RESOLVED,NEW,NEW,NEW,NEW,NEEDINFO,REOPENED,8/13/02 14:14,9,0,0,0,0,1,2,1/20/03 15:06,18,0,1,1,1,2,4,4128.733333,4128.733333,8,2002,2002- 8,1,2,2,2,2,2,2,0.409677,0.590323,0.383392,0.616608,0.429703,0.570297,0.428161,0.571839,0.569832,0.430168,0.512126,0.487874,2003- 1
